,Country,Region,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
129,Tajikistan,Central Asia,0.66,0.65,0.66,0.67,0.67,0.68,0.68,0.68,0.64,0.63
130,Tanzania,Africa,0.68,0.69,0.71,0.69,0.72,0.72,0.72,0.7,0.7,0.71
131,Thailand,Southeast Asia,0.69,0.69,0.69,0.69,0.7,0.71,0.7,0.69,0.7,0.71
132,Timor-Leste,Southeast Asia,,,0.69,,,,0.64,0.63,0.64,0.66
133,Trinidad and Tobago,North America,0.74,0.74,0.71,0.72,0.72,0.72,0.72,,,0.76
134,Tunisia,Africa,0.63,0.63,,,0.63,0.63,0.64,0.65,0.65,0.64
135,Turkey,Middle East and Europe,0.59,0.6,0.6,0.61,0.62,0.62,0.62,0.62,0.63,0.64
136,Uganda,Africa,0.72,0.72,0.72,0.71,0.68,0.71,0.7,0.72,0.72,0.72
137,Ukraine,Europe,0.69,0.69,0.69,0.69,0.71,0.7,0.7,0.7,0.71,0.72
138,United Arab Emirates,Middle East,0.64,0.65,0.64,0.64,0.64,0.65,0.64,0.65,0.64,0.66
139,United Kingdom,Europe,0.75,0.75,0.74,0.74,0.74,0.76,0.75,0.77,0.74,0.77
140,United States,North America,0.74,0.74,0.74,0.74,0.75,0.74,0.72,0.72,0.72,0.72
141,Uruguay,South America,0.69,0.69,0.67,0.68,0.69,0.68,0.68,0.71,0.72,0.74
142,Venezuela,South America,0.69,0.69,0.71,0.71,0.69,0.69,0.69,0.71,0.71,0.71
143,Vietnam,Southeast Asia,0.68,0.67,0.69,0.69,0.69,0.69,0.7,0.7,0.7,0.7
144,Yemen,Middle East,0.46,0.49,0.51,0.51,0.51,0.48,0.52,0.52,0.5,0.49
145,Zambia,Africa,0.63,0.63,0.63,0.63,0.64,0.65,,,,0.73
146,Zimbabwe,Africa,0.66,0.66,,,0.7,0.71,0.71,0.72,0.72,0.73
